homework_id,user_id,org_id,class_id,lab_id,project_Id,teacher_id.x,template_id,publish_id,lab_type,chip_id,homework_name,marked_at,submit_at,published_at,checklist_score_full,checklist_score,score.x,quiz,study_num,reference_num,study_dur_guide,study_dur_coding,study_dur_debug,created_at.x,updated_at.x,is_must_report,answer_url,use_way,scene_id,circuit_diagram,id,label,score.y,account,phone,no,user_name,password,role,sex,department,created_at.y,updated_at.y,teacher_id.y,class_name,created_at,updated_at
1,2,1,0,11,50,2,0,0,2,stm32f103c8,LED_刘,NA,NA,NA,0,0,0,s,0,0,0,0,0,10/12/2022 16:17,10/12/2022 16:17,2,NA,1,NA,NA,NA,NA,NA,15108276477,19025252525,,陈利国,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,1,男,计算机3333,9/29/2022 14:51,5/29/2023 10:13,NA,NA,NA,NA
2,2,1,0,21,51,2,0,0,2,stm32f103c8,串口(陈利国),NA,NA,10/13/2022 10:30,50,0,0,3,46,0,0,0,0,10/13/2022 9:09,4/21/2023 10:48,2,NA,1,NA,NA,uart_monitor2.uart_monitor_recv,串口助手接收数据,0,15108276477,19025252525,,陈利国,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,1,男,计算机3333,9/29/2022 14:51,5/29/2023 10:13,NA,NA,NA,NA
2,2,1,0,21,51,2,0,0,2,stm32f103c8,串口(陈利国),NA,NA,10/13/2022 10:30,50,0,0,3,46,0,0,0,0,10/13/2022 9:09,4/21/2023 10:48,2,NA,1,NA,NA,uart_monitor2.uart_monitor_send,串口助手发送数据,0,15108276477,19025252525,,陈利国,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,1,男,计算机3333,9/29/2022 14:51,5/29/2023 10:13,NA,NA,NA,NA
3,6,1,1,21,52,2,2,1,10,stm32f103c8,串口(陈利国),10/14/2022 10:15,10/14/2022 10:14,NA,50,0,600,3,0,0,0,0,0,10/13/2022 10:30,10/14/2022 10:15,2,NA,1,NA,NA,uart_monitor2.uart_monitor_recv,串口助手接收数据,0,15108273333,15108273333,15108273333,李四,6yYqXFw5yg5tsHlgY7wmixS3B6sWHFrZFY67G4WzDMnCAfUHBxfbJJ8d3bryISH7,2,男,,10/8/2022 11:28,10/18/2022 14:15,2,"2022级,软件专业,2班",9/29/2022 14:51,10/14/2022 14:40
3,6,1,1,21,52,2,2,1,10,stm32f103c8,串口(陈利国),10/14/2022 10:15,10/14/2022 10:14,NA,50,0,600,3,0,0,0,0,0,10/13/2022 10:30,10/14/2022 10:15,2,NA,1,NA,NA,uart_monitor2.uart_monitor_send,串口助手发送数据,0,15108273333,15108273333,15108273333,李四,6yYqXFw5yg5tsHlgY7wmixS3B6sWHFrZFY67G4WzDMnCAfUHBxfbJJ8d3bryISH7,2,男,,10/8/2022 11:28,10/18/2022 14:15,2,"2022级,软件专业,2班",9/29/2022 14:51,10/14/2022 14:40
4,5,1,1,21,53,2,2,1,10,stm32f103c8,串口(陈利国),10/14/2022 9:27,10/13/2022 10:32,NA,50,5000,5200,3,0,0,0,0,0,10/13/2022 10:30,10/14/2022 9:27,2,NA,1,NA,NA,uart_monitor2.uart_monitor_recv,串口助手接收数据,0,15108272222,15108271459,15108272222,张三,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,2,男,,9/29/2022 15:10,5/30/2023 9:45,2,"2022级,软件专业,2班",9/29/2022 14:51,10/14/2022 14:40
4,5,1,1,21,53,2,2,1,10,stm32f103c8,串口(陈利国),10/14/2022 9:27,10/13/2022 10:32,NA,50,5000,5200,3,0,0,0,0,0,10/13/2022 10:30,10/14/2022 9:27,2,NA,1,NA,NA,uart_monitor2.uart_monitor_send,串口助手发送数据,0,15108272222,15108271459,15108272222,张三,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,2,男,,9/29/2022 15:10,5/30/2023 9:45,2,"2022级,软件专业,2班",9/29/2022 14:51,10/14/2022 14:40
9,2,1,0,5,58,2,0,0,2,stm32f103c8,aa,NA,NA,NA,2,0,0,4,0,0,0,0,0,10/13/2022 10:52,10/13/2022 10:52,2,NA,1,NA,NA,stm32f103c81.adc1.adc_dma,DMA数据请求,0,15108276477,19025252525,,陈利国,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,1,男,计算机3333,9/29/2022 14:51,5/29/2023 10:13,NA,NA,NA,NA
10,2,1,0,24,59,2,0,0,2,stm32f103c8,454,NA,NA,NA,0,0,0,2,0,0,0,0,0,10/13/2022 10:53,10/14/2022 14:06,2,NA,1,NA,NA,stm32f103c81.adc1.adc_eocie,数据转换完成中断,0,15108276477,19025252525,,陈利国,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,1,男,计算机3333,9/29/2022 14:51,5/29/2023 10:13,NA,NA,NA,NA
11,2,1,0,8,60,2,0,0,2,STM32F407ZG,串口发送多字节,NA,NA,10/14/2022 15:46,1,0,0,45,5,0,0,0,0,10/13/2022 10:54,1/10/2023 14:30,2,NA,1,NA,NA,NA,NA,NA,15108276477,19025252525,,陈利国,WZFO2cN+9KhT5IEtO8dHRGrzDvZl+tgQIcswjI8YBikvXgFjFatVZQFgt6fpyuoJ,1,男,计算机3333,9/29/2022 14:51,5/29/2023 10:13,NA,NA,NA,NA
